"부류코드(catgoryCode)","부류명(catgoryNm)","품목코드(stdPrdlstCode)","품목명(stdPrdlstNm)","HSK류코드(hskLclasCode)","HSK류명(hskLclasNm)","HSK호코드(hskMclasCode)","HSK호명(hskMclasNm)","HSK소호코드(hskSclasCode)","HSK소호명(hskSclasNm)","HSK품목코드(hskPrdlstCode)","HSK품목명(hskPrdlstNm)","업데이트일자(updtDe)"
"01","미곡류","0101","벼","10","곡물","1006","쌀","100610","벼","1006100000","벼","2015-12-03"
"01","미곡류","0102","밭벼","10","곡물","1006","쌀","100610","벼","1006100000","벼","2015-12-03"
"01","미곡류","0103","쌀","10","곡물","1006","쌀","","","","","2015-12-03"
"01","미곡류","0104","찹쌀","10","곡물","1006","쌀","100630","정미(연마ㆍ광택 여부에 상관없다)","1006302000","찹쌀","2015-12-03"
"01","미곡류","0105","찰벼","10","곡물","1006","쌀","100610","벼","1006100000","벼","2015-12-03"
"01","미곡류","0106","현미","10","곡물","1006","쌀","100620","현미","","","2015-12-03"
"02","맥류","0201","보리","10","곡물","1003","보리","","","","","2015-12-03"
"02","맥류","0202","보리쌀","10","곡물","1003","보리","","","","","2015-12-03"
"02","맥류","0203","밀","10","곡물","1001","밀과 메슬린(meslin)","100110","듀럼종 밀(Durum wheat)","","","2015-12-03"
"02","맥류","0205","호밀","10","곡물","1002","호밀","100290","기타","1002900000","기타","2015-12-03"
"02","맥류","0206","귀리","10","곡물","1004","귀리","100490","기타","1004900000","기타","2015-12-03"
"03","두류","0301","콩","12","채유(採油)에 적합한 종자와 과실  ， 각종 종자와 과실  ， 공업용·의약용 식물  ， 짚과 사료용 식물","1201","대두(부수었는지에 상관없다)","120190","기타","1201909000","기타","2015-12-03"
"03","두류","0302","팥","07","식용의 채소·뿌리·괴경(塊莖)","0713","건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)","071332","팥[아주기(Adzuki)][파세러스(Phaseolus)ㆍ비그나 앵구라리스(Vigna angularis)]","0713329000","기타","2015-12-03"
"03","두류","0303","녹두","07","식용의 채소·뿌리·괴경(塊莖)","0713","건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)","071331","녹두[비그나 멍고(엘) 헤파(Vigna mungo (L) Hepper)종ㆍ비그나 라디에이타(엘) 월크젝(Vigna radiata (L) Wilczek)종]","0713319000","기타","2015-12-03"
"03","두류","0304","완두","07","식용의 채소·뿌리·괴경(塊莖)","0713","건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)","071310","완두[피섬 새티범(Pisum sativum)]","0713109000","기타","2015-12-03"
"03","두류","0305","강낭콩","07","식용의 채소·뿌리·괴경(塊莖)","0713","건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)","071333","강낭콩(흰 완두콩을 포함한다)[파세러스 불가리스(Phaseolus vulgaris)]","0713339000","기타","2015-12-03"
"03","두류","0306","동부","07","식용의 채소·뿌리·괴경(塊莖)","0713","건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)","071335","기타","0713350000","동부콩[비그나 운구이쿨라타(Vigna unguiculata)]","2015-12-03"
"04","잡곡류","0401","옥수수","10","곡물","1005","옥수수","100590","기타","1005909000","기타","2015-12-03"
"04","잡곡류","0402","조","10","곡물","1008","메밀ㆍ밀리트(millet)ㆍ카나리시드(canary seed)와 그 밖의 곡물","100829","기타","1008291000","조","2015-12-03"
"04","잡곡류","0403","수수","10","곡물","1007","수수","100790","기타","1007900000","기타","2015-12-03"
"04","잡곡류","0404","메밀","10","곡물","1008","메밀ㆍ밀리트(millet)ㆍ카나리시드(canary seed)와 그 밖의 곡물","100810","메밀","1008100000","메밀","2015-12-03"
"04","잡곡류","0405","기장","10","곡물","1008","메밀ㆍ밀리트(millet)ㆍ카나리시드(canary seed)와 그 밖의 곡물","100890","그 밖의 곡물","1008900000","그 밖의 곡물","2015-12-03"
"04","잡곡류","0406","피","10","곡물","1008","메밀ㆍ밀리트(millet)ㆍ카나리시드(canary seed)와 그 밖의 곡물","100890","그 밖의 곡물","1008900000","그 밖의 곡물","2015-12-03"
"04","잡곡류","0407","율무","10","곡물","1008","메밀ㆍ밀리트(millet)ㆍ카나리시드(canary seed)와 그 밖의 곡물","100890","그 밖의 곡물","1008900000","그 밖의 곡물","2015-12-03"
"05","서류","0501","감자","07","식용의 채소·뿌리·괴경(塊莖)","0701","감자(신선한 것이나 냉장한 것으로 한정한다)","070190","기타","0701900000","기타","2015-12-03"
"05","서류","0502","고구마","07","식용의 채소·뿌리·괴경(塊莖)","0714","매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalem artichoke)ㆍ고구마와 그 밖에 이와 유사한 전분이나 이눌린(inulin)을 다량 함유한 뿌리ㆍ괴경(塊莖)[자른 것인지 또는 펠릿(pellet) 모양인지에 상관없으며 신선한 것  ， 냉장ㆍ냉동한 것  ， 건조한 것으로 한정한다]  ， 사고야자(sago)의 심(pith)","071420","고구마","","","2015-12-03"
"05","서류","0503","야콘","07","식용의 채소·뿌리·괴경(塊莖)","0714","매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalem artichoke)ㆍ고구마와 그 밖에 이와 유사한 전분이나 이눌린(inulin)을 다량 함유한 뿌리ㆍ괴경(塊莖)[자른 것인지 또는 펠릿(pellet) 모양인지에 상관없으며 신선한 것  ， 냉장ㆍ냉동한 것  ， 건조한 것으로 한정한다]  ， 사고야자(sago)의 심(pith)","071490","기타","0714909090","기타","2015-12-03"
"05","서류","0504","카사바","07","식용의 채소·뿌리·괴경(塊莖)","0714","매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalem artichoke)ㆍ고구마와 그 밖에 이와 유사한 전분이나 이눌린(inulin)을 다량 함유한 뿌리ㆍ괴경(塊莖)[자른 것인지 또는 펠릿(pellet) 모양인지에 상관없으며 신선한 것  ， 냉장ㆍ냉동한 것  ， 건조한 것으로 한정한다]  ， 사고야자(sago)의 심(pith)","071410","매니옥(manioc)[카사바(cassava)]","","","2015-12-03"
"06","과실류","0601","사과","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0808","사과ㆍ배ㆍ마르멜로(quince)(신선한 것으로 한정한다)","080810","사과","0808100000","사과","2015-12-03"
"06","과실류","0602","배","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0808","사과ㆍ배ㆍ마르멜로(quince)(신선한 것으로 한정한다)","080830","배","0808300000","배","2015-12-03"
"06","과실류","0603","포도","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0806","포도(신선하거나 건조한 것으로 한정한다)","080610","신선한 것","0806100000","신선한 것","2015-12-03"
"06","과실류","0604","복숭아","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0809","살구ㆍ체리ㆍ복숭아[넥터린(nectarine)을 포함한다]ㆍ자두ㆍ슬로(sloe)(신선한 것으로 한정한다)","080930","복숭아[넥터린(nectarine)을 포함한다]","0809300000","복숭아[넥터린(nectarine)을 포함한다]","2015-12-03"
"06","과실류","0605","감","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0810","그 밖의 과실(신선한 것으로 한정한다)","081070","감","0810701000","단감","2015-12-03"
"06","과실류","0608","자두","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0809","살구ㆍ체리ㆍ복숭아[넥터린(nectarine)을 포함한다]ㆍ자두ㆍ슬로(sloe)(신선한 것으로 한정한다)","080940","자두와 슬로(sloe)","0809401000","자두","2015-12-03"
"06","과실류","0609","모과","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0810","그 밖의 과실(신선한 것으로 한정한다)","081090","기타","0810909000","기타","2015-12-03"
"06","과실류","0610","살구","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0813","건조한 과실(제0801호부터 제0806호까지에 해당하는 것은 제외한다)  ， 이 류의 견과류나 건조한 과실의 혼합물","081310","살구","0813100000","살구","2015-12-03"
"06","과실류","0611","참다래(키위)","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0810","그 밖의 과실(신선한 것으로 한정한다)","081050","키위프루트(kiwifruit)","0810500000","키위프루트(kiwifruit)","2015-12-03"
"06","과실류","0612","바나나","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0803","바나나[플랜틴(plantain)을 포함하며  ， 신선하거나 건조한 것으로 한정한다]","080390","기타","0803900000","기타","2015-12-03"
"06","과실류","0613","파인애플","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0804","대추야자ㆍ무화과ㆍ파인애플ㆍ아보카도(avocado)ㆍ구아바(guava)ㆍ망고(mango)ㆍ망고스틴(mangosteen)(신선하거나 건조한 것으로 한정한다)","080430","파인애플","0804300000","파인애플","2015-12-03"
"06","과실류","0614","감귤","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080520","만다린(mandarins)[탄제린(tangerines)ㆍ세트수머(satsumas)를 포함한다]  ， 클레멘타인(clementines)  ， 윌킹(wilkings)과 이와 유사한 감귤류 잡종","0805201000","감귤","2015-12-03"
"06","과실류","0615","만감","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080520","만다린(mandarins)[탄제린(tangerines)ㆍ세트수머(satsumas)를 포함한다]  ， 클레멘타인(clementines)  ， 윌킹(wilkings)과 이와 유사한 감귤류 잡종","0805209000","기타","2015-12-03"
"06","과실류","0616","탄제린","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080520","만다린(mandarins)[탄제린(tangerines)ㆍ세트수머(satsumas)를 포함한다]  ， 클레멘타인(clementines)  ， 윌킹(wilkings)과 이와 유사한 감귤류 잡종","0805209000","기타","2015-12-03"
"06","과실류","0617","레몬","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080550","레몬[시트러스 리몬(Citrus limon)ㆍ시트러스 리머늄(Citrus limonum)]  ， 라임(lime)[시트러스 오란티폴리아(Citrus aurantifolia)ㆍ시트러스 라티폴리아(Citrus latifolia)]","0805501000","레몬(시트리스 리몬 및 시트리스 리머늄)","2015-12-03"
"06","과실류","0618","오렌지","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080510","오렌지","0805100000","오렌지","2015-12-03"
"06","과실류","0619","자몽","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080540","그레이프프루트(grapefruit)[포멜로(pomelos)를 포함한다]","0805400000","그레이프프루트(grapefruit)[포멜로(pomelos)를 포함한다]","2015-12-03"
"06","과실류","0620","유자","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080590","기타","0805900000","기타","2015-12-03"
"06","과실류","0621","금감","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0805","감귤류의 과실(신선하거나 건조한 것으로 한정한다)","080590","기타","0805900000","기타","2015-12-03"
"06","과실류","0622","오디","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0810","그 밖의 과실(신선한 것으로 한정한다)","081020","나무딸기ㆍ검은나무딸기ㆍ오디ㆍ로간베리(loganberry)","0810200000","나무딸기ㆍ검은나무딸기ㆍ오디ㆍ로간베리(loganberry)","2015-12-03"
"06","과실류","0623","버찌","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0809","살구ㆍ체리ㆍ복숭아[넥터린(nectarine)을 포함한다]ㆍ자두ㆍ슬로(sloe)(신선한 것으로 한정한다)","080921","신 체리[프루너스 체라서스(Prunus cerasus)]","0809210000","신 체리[프루너스 체라서스(Prunus cerasus)]","2015-12-03"
"06","과실류","0624","석류","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0810","그 밖의 과실(신선한 것으로 한정한다)","081090","기타","0810909000","기타","2015-12-03"
"06","과실류","0625","매실","08","식용의 과실과 견과류  ，감귤류·멜론의 껍질","0810","그 밖의 과실(신선한 것으로 한정한다)","081090","기타","0810905000","매실","2015-12-03"
